2020-12-25 03:58:22 INFO  UserRestController:30 - Users exist
2020-12-25 03:58:31 INFO  UserRestController:62 - User sttntyring was saved
2020-12-25 03:58:40 INFO  UserRestController:43 - User with id 82 exists
2020-12-25 03:58:50 INFO  UserRestController:78 - User with id 82 was updated
2020-12-25 12:43:22 INFO  UserRestController:62 - User strin44g was saved
2020-12-25 12:44:11 INFO  UserRestController:78 - User with id 84 was updated
2020-12-25 12:44:26 ERROR UserRestController:80 - User does not exist
2020-12-25 12:49:06 INFO  UserRestController:78 - User with id 84 was updated
2020-12-25 12:53:21 INFO  UserRestController:78 - User with id 84 was updated
2020-12-25 13:05:28 INFO  UserRestController:78 - User with id 84 was updated
2020-12-25 13:49:55 INFO  LocationRestController:36 - Locations exist
2020-12-25 13:53:03 INFO  CinemaRestController:36 - Cinemas exist
2020-12-25 13:53:20 INFO  CinemaRestController:36 - Cinemas exist
